model,livebench_coding,livebench_agentic,aa_scicode,vals_tb21,aa_tb4,livebench_if,aa_lcr,livebench_reasoning,vals_effort,vals_cost_usd,vals_seconds,vals_stderr,aa_effort,aa_fallback,generation_index,editing_index,terminal_index,composite_equal_domains,composite_terminal_heavy,composite_generation_heavy,rank_average_equal_domains,reference_rank
Claude Fable 5.1,86.375,66.06066666666668,63,85.019,52,72.98775,85,91.69225,high,3.074796,500.355,0.991,max,default (Opus 4.8 or Opus 5),100.0,100.0,92.78035361977231,97.59345120659077,95.66821217186339,98.55607072395446,1.5,1
GPT-6 Astra,80.35849999999999,57.323,56,87.266,59,75.57900000000001,81,92.65375,max,1.339493,274.44,0.375,max,none noted,90.96166586267888,86.77326901534951,100.0,92.57831162600947,95.54698697560568,91.93165332067723,3.1666666666666665,2
Claude Fable 5,85.992,62.17166666666666,61,80.524,42,75.77075,82,89.65375,max,1.429025,504.537,1.35,max,Opus 4.8,98.190990742655,94.11298705230543,81.73031840695913,91.34476540063986,87.49898660316757,94.08325553744591,2.6666666666666665,3
GPT-5.6 Sol,83.941,56.211999999999996,57,85.768,40,71.846,84,91.65375,max,1.023319,372.819,1.35,max,none noted,93.8291227344773,85.09148156744808,83.0400097578143,87.32020468657988,85.60812671507365,89.92377190573885,3.5,4
GPT-5.6 Terra,78.24549999999999,54.949666666666666,55,77.528,35,64.6165,83,90.6345,max,0.472552,519.739,2.247,max,none noted,88.94486022098178,83.18061176090663,74.08152436326571,82.06899878171804,78.8740090143371,84.81934335742355,5.833333333333333,5
Gemini 3.8 Flash,72.489,54.242333333333335,57,81.273,20,81.4125,81,89.29325,high,1.544972,554.797,0.375,high,none noted,87.19988973881883,82.10987879827633,63.51539827381467,77.60838893696994,71.97119267170783,81.4449892577095,5.833333333333333,6
Grok 4.7,77.1585,51.76766666666666,57,73.408,26,75.27525,77,82.65375,xhigh,1.076601,797.952,1.498,xhigh,none noted,89.9029288126249,78.36382718914935,64.09380708972023,77.45352103049815,72.10963545418699,82.43328414334886,6.5,7
GPT-5.6 Luna,82.91499999999999,48.434333333333335,54,79.026,12,60.121,84,85.64425,max,0.053767,355.751,0.991,max,none noted,90.85424850113706,73.31796025875205,55.448294266468345,73.20683434211915,66.10341831185883,80.26580000572632,7.0,8
